lucode,nesting_cavity_availability_index,nesting_stem_availability_index,nesting_ground_availability_index,floral_resources_spring_index,floral_resources_summer_index,floral_resources_autumn_index,floral_resources_winter_index
532,0.894145,0.401519,0.243970,0.374546,0.590991,0.295292,0.121594
533,0.134962,0.242676,0.935853,0.021683,0.073021,0.202501,0.624354
534,0.454101,0.331171,0.964011,0.048315,0.812980,0.452971,0.868854
535,0.179721,0.020540,0.656411,0.165032,0.124532,0.156229,0.025320
537,0.934849,0.350143,0.313076,0.543363,0.296006,0.789647,0.373310
538,0.154953,0.689459,0.742492,0.759491,0.406117,0.183456,0.080338
540,0.842931,0.557584,0.693597,0.143830,0.296680,0.749663,0.272893
541,0.687299,0.207238,0.308858,0.687147,0.716053,0.098902,0.187534
542,0.403771,0.939287,0.388194,0.144039,0.317354,0.672444,0.698457
543,0.707668,0.424461,0.231264,0.383371,0.843469,0.889428,0.207308
544,0.606572,0.736969,0.696473,0.086668,0.511311,0.013576,0.604332
545,0.777655,0.199885,0.750428,0.003132,0.798465,0.379202,0.343588
546,0.217742,0.252079,0.516470,0.048926,0.696913,0.918183,0.450468
550,0.854910,0.686560,0.944725,0.810941,0.474664,0.181549,0.893136
551,0.220046,0.128052,0.606307,0.561981,0.383959,0.600493,0.185325
552,0.997554,0.680410,0.971311,0.263350,0.168292,0.595688,0.779778
553,0.317074,0.342155,0.761765,0.182813,0.181512,0.834767,0.451372
554,0.318265,0.592056,0.972065,0.202355,0.239180,0.349030,0.194066
555,0.495791,0.096869,0.320380,0.981314,0.157114,0.807490,0.885569
560,0.847136,0.721848,0.084511,0.466510,0.306213,0.817701,0.604086
561,0.563954,0.666853,0.463029,0.281614,0.809292,0.833117,0.589879
563,0.136792,0.548022,0.074593,0.262748,0.163317,0.687141,0.625065
564,0.962418,0.454610,0.285575,0.031896,0.877924,0.073356,0.701981
565,0.119577,0.766301,0.778261,0.502640,0.748483,0.974297,0.211885
566,0.401086,0.676396,0.837119,0.707891,0.738169,0.553811,0.291330
567,0.545754,0.892489,0.265592,0.299324,0.249342,0.186487,0.670310
570,0.149231,0.540821,0.715756,0.327572,0.779917,0.254333,0.021659
571,0.168997,0.037574,0.390120,0.348989,0.801877,0.698040,0.960340
572,0.425148,0.188873,0.756547,0.278429,0.092081,0.370175,0.619695
573,0.216067,0.544847,0.362103,0.075272,0.640610,0.337491,0.698361
574,0.927398,0.570837,0.728658,0.615513,0.311356,0.594610,0.563150
575,0.995956,0.155791,0.423299,0.970585,0.388314,0.855382,0.412816
580,0.165920,0.533561,0.636560,0.742346,0.264673,0.644073,0.379961
581,0.879030,0.051110,0.294647,0.319286,0.158790,0.219458,0.001242
582,0.567556,0.164019,0.351038,0.542538,0.727183,0.952776,0.452951
583,0.719652,0.019462,0.307544,0.937910,0.295414,0.027471,0.057776
584,0.335561,0.482683,0.194377,0.098789,0.289659,0.466325,0.484404
590,0.439394,0.491265,0.817481,0.403084,0.525495,0.563023,0.999129
591,0.030967,0.030720,0.327610,0.905682,0.576779,0.286374,0.985920
592,0.472430,0.508032,0.970324,0.872364,0.746171,0.084600,0.561690
593,0.394429,0.241297,0.967966,0.364252,0.711328,0.723222,0.078110
595,0.985167,0.781645,0.086007,0.133478,0.866082,0.434905,0.647539
610,0.938525,0.335897,0.695986,0.122233,0.189977,0.737152,0.741134
611,0.402803,0.742310,0.868975,0.422153,0.101431,0.376162,0.329569
612,0.871105,0.938593,0.014762,0.470031,0.147099,0.501881,0.229684
613,0.703914,0.831059,0.760621,0.329783,0.387799,0.172587,0.381955
614,0.625913,0.974631,0.040968,0.021168,0.015760,0.605400,0.548816
620,0.439274,0.743091,0.008162,0.263786,0.047037,0.602435,0.572135
621,0.822740,0.933745,0.380448,0.425420,0.554741,0.369820,0.810017
622,0.476819,0.572902,0.534182,0.168400,0.184572,0.526533,0.714717
623,0.855015,0.716883,0.646288,0.439960,0.937700,0.365596,0.149947
630,0.956310,0.574882,0.577039,0.691570,0.685653,0.742260,0.569527
631,0.398217,0.101923,0.841921,0.380601,0.616352,0.506754,0.039892
632,0.473952,0.002109,0.643475,0.308535,0.052296,0.944655,0.759964
633,0.385244,0.450291,0.441986,0.792585,0.458587,0.828650,0.535375
640,0.062205,0.198794,0.398854,0.289433,0.405438,0.046280,0.011863
641,0.026363,0.436771,0.162004,0.439767,0.149720,0.590178,0.446967
642,0.366334,0.943419,0.123051,0.506967,0.062156,0.333729,0.270502
643,0.805777,0.181888,0.851305,0.242807,0.438177,0.779929,0.929639
650,0.860650,0.853224,0.049417,0.352554,0.832034,0.472949,0.964683
651,0.301363,0.534394,0.006165,0.055693,0.154544,0.135026,0.599562
652,0.103076,0.582404,0.968013,0.377644,0.976290,0.034996,0.214702
653,0.017207,0.233319,0.510454,0.824432,0.489208,0.983066,0.882462
654,0.336768,0.201448,0.739168,0.226802,0.553706,0.612303,0.675652
660,0.901595,0.747280,0.691668,0.943805,0.273821,0.540613,0.700916
661,0.225312,0.892917,0.307533,0.520313,0.443646,0.668811,0.380796
662,0.172960,0.587346,0.495464,0.766107,0.626154,0.222652,0.885107
663,0.235222,0.911873,0.300593,0.615168,0.355552,0.089992,0.557301
